,INVOICE_UPDATE_DATETIME,INVOICE_UPC_CASE,INVOICE_UPC_PACK,INVOICE_PACKAGE_DESCRIPTION,GTIN,PRODUCT_DESCRIPTION,new_invoice_description
48009,2021-08-10 01:32:45.000000,00857918007283,00857918007283,NEW VARIETY 2/12 CAN 12OZ,00857918007283,2020 MIXED 12 PACK 12PK MIX 12OZ CANS,NEED TO INSPECT
48020,2021-08-10 01:04:12.000000,018200961199,018200189920,PLAT 2/12PK BTL,00018200189920,BUD LIGHT PLATINUM LAGER BEER 12 CT 12 OZ LONG NECK BTL IN BOX 144 OZ,NEED TO INSPECT
48021,2021-08-10 01:04:12.000000,018200961199,018200189920,PLAT 2/12PK BTL,00018200961199,BUD LIGHT PLATINUM LAGER BEER 24 CT 12 OZ LONG NECK BTL IN BOX 288 OZ,NEED TO INSPECT
48087,2021-08-10 01:23:56.000000,00850992005084,00850992005077,EXILE GIGI 6PK BTL,00850992005084,GIGI CASE 12 OZ BOTTLES,NEED TO INSPECT
48098,2021-08-10 01:06:07.000000,00078000053166,00078000053166,A&W C 12PK 2/12ZERO ROOTB,00078000053166,A&W DIET ROOT BEER SODA 24/12OZ CANS,NEED TO INSPECT
48118,2021-08-10 01:07:31.000000,00754527009946,00754527009946,NB VD CPTN DYN C24 12OZ 6P,00754527009946,NEW BELGIUM VOODOO ROTATING IPA SERIES BEER 6 CT 12 OZ CAN IN BOX 72 OZ,NEED TO INSPECT
48140,2021-08-10 01:32:49.000000,00754527010706,00754527010706,NB VD HOP VP 2/12/12 CAN,00754527010706,NEW BELGIUM VOODOO RANGER HOPPY PACK VARIETY PACK BEER 12 CT 12 OZ CAN IN BOX 144 OZ,NEED TO INSPECT
48153,2021-08-10 01:04:16.000000,00853565006235,00853565006235,UNKNOWN BREWNG TELEPORT 16OZC,00853565006235,16OZ CANS - DCH & TRAFALGAR,NEED TO INSPECT
48167,2021-08-10 01:14:52.000000,00034100570231,034100570231,LITE ALUM PINT 2/9PK   16OZ,00034100570231,MILLER LITE BEER 9 CT 16 OZ ALUMINUM BOTTL IN BX 144 OZ,NEED TO INSPECT
48171,2021-08-10 01:16:57.000000,00111111111117,00852131004675,B POCKT RAYGUN V2 6PKC,00852131004675,RAYGUN IPA BACKPOCKET - SIX PACK 12OZ CAN,NEED TO INSPECT
48190,2021-08-10 01:06:11.000000,00078000029451,00078000029451,C DRY C 10PK 7.5 OZ GINGER,00078000029451,CANADA DRY GINGER ALE SODA 3/10/7.5OZ CANS,NEED TO INSPECT
48203,2021-08-10 01:22:35.000000,754527009946,754527009946,NB VDR CAPTAIN DYNAMITE 4/6/12 CN,00754527009946,NEW BELGIUM VOODOO ROTATING IPA SERIES BEER 6 CT 12 OZ CAN IN BOX 72 OZ,NEED TO INSPECT
48269,2021-08-10 01:48:32.000000,087692008040,00086003780217,750    MOND PRIV SEL 18 BOURBON BARR,00086003780217,R MNDVI PVT SEL CABERNET SAUV 750 ML,NEED TO INSPECT
48270,2021-08-10 01:48:32.000000,087692008040,00086003780217,750    MOND PRIV SEL 18 BOURBON BARR,00087692008040,TRULY WRAP 12X12OZ SLIM CAN TRULY VARIETY PACK VP TROPICAL,NEED TO INSPECT
48354,2021-08-10 01:46:46.000000,00754527010249,00754527010249,NB MTN TIME 2/12/12 CAN,00754527010249,NEW BELGIUM MOUNTAIN TIME PREMIUM LAGER BEER 12 CT 12 OZ CAN IN BOX 144 OZ,NEED TO INSPECT
48383,2021-08-10 01:49:00.000000,034100572150,034100572150,LITE ON-PREM - 24PK LSE BTL,00034100572150,MILLER LITE BEER 24 CT 12 OZ LONG NECK BOTTLE 288 OZ,NEED TO INSPECT
48413,2021-08-10 01:51:04.000000,03410000173,03410000173,4/6/16CN HAMM'S,00034100001735,HAMMS BEER 1 CT 16 OZ CAN 16 OZ,NEED TO INSPECT
48421,2021-08-10 01:44:14.000000,00082000786849,00082000753407,ICE BLK CHERRY B24 11.2OZ 6P,00082000753407,SMIRNOFF ICE CHERRY LIME MALT BEVERAGE 6 CT 11 OZ LONG NECK BTL CRTN 67.2 OZ,NEED TO INSPECT
48500,2021-08-10 01:57:14.000000,085000025025,085000025024,CARLO ROSSI 750 SWEET SANGRIA,00085000025024,C ROSSI SW SN J TABLE OTHER 750 ML,NEED TO INSPECT
48588,2021-08-10 01:40:04.000000,00752245141504,752245141504,WEIHEN HEFE   6PK 12.OZ,00752245141504,WEIHENSTEPHANER HEFE-WEISSBIER 4/6/11.2OZ BOTTLE,NEED TO INSPECT
48658,2021-08-10 01:48:09.000000,00078250006264,00078250006264,ALLOY BL RAZZ 6/4/16 CN,00078250006264,STEEL RESERVE 211 ALLOY SERIES SPIKED BLUE RAZZ MALT LIQUOR 4 CT 16 OZ CAN 64 OZ,NEED TO INSPECT
48682,2021-08-10 01:56:52.000000,08858660384,08858660384,CSM CHARD 750ML,00088586603843,CHATEAU STE MICHELLE CHARDONNAY 12/750ML,NEED TO INSPECT
48683,2021-08-10 01:56:52.000000,08858660384,08858660384,CSM CHARD 750ML,00088586603846,CHATEAU STE MICHELLE CHARDONNAY COLUMBIA VALLEY 12/750ML,NEED TO INSPECT
48717,2021-08-10 01:54:20.000000,850992005411,810631030020,EXILE CHERRY 6NR,00810631030020,BOHEMIAN FRUIT REVUE 6 PACK 12 OZ BTL,NEED TO INSPECT
48718,2021-08-10 01:54:20.000000,850992005411,810631030020,EXILE CHERRY 6NR,00850992005411,BOHEMIAN FRUIT REVUE CASE,NEED TO INSPECT
48806,2021-08-10 01:57:34.000000,00635985240013,00635985100621,MIKE LEM 4/6/11.2BT,00635985240013,MIKES HARD LEMONADE MALT BEVERAGE 24 CT 11 OZ GLASS BOTTLE IN BOX 268.8 OZ,NEED TO INSPECT
48807,2021-08-10 01:57:34.000000,00635985240013,00635985100621,MIKE LEM 4/6/11.2BT,00635985100621,MIKES HARD LEMONADE MALT BEVERAGE 6 CT 11 OZ GLASS BOTTLE IN CRTN 67.2 OZ,NEED TO INSPECT
48817,2021-08-10 01:54:00.000000,00754527009946,00754527009946,NB VD CPTN DYN C24 12OZ 6P,00754527009946,NEW BELGIUM VOODOO ROTATING IPA SERIES BEER 6 CT 12 OZ CAN IN BOX 72 OZ,NEED TO INSPECT
48830,2021-08-10 01:59:03.000000,00652682012262,00652682012262,3F GUMBALL C24 12OZ 12P,00652682012262,THREE FLOYDS GUMBALLHEAD WHEAT ALE BEER 12 CT 12 OZ CAN IN BOX 144 OZ,NEED TO INSPECT
48832,2021-08-10 01:40:20.000000,00635985260905,00635985260899,WC HRD BLK CHR C24 12OZ 12P,00635985260899,WHITE CLAW HARD SELTZER BLACK CHERRY MALT BEVERAGE 12 CT 12 OZ CAN IN BOX 144 OZ,NEED TO INSPECT
48838,2021-08-10 01:45:03.000000,00018200110368,00018200008344,BUD 4/6/12 BT,00018200008344,BUDWEISER BEER 6 CT 12 OZ LONG NECK BTL CRTN 72 OZ,NEED TO INSPECT
48839,2021-08-10 01:45:03.000000,00018200110368,00018200008344,BUD 4/6/12 BT,00018200110368,BUDWEISER BEER 24 CT 12 OZ LONG NECK BOTTLE 288 OZ,NEED TO INSPECT
48841,2021-08-10 01:54:39.000000,876063002011,109763,14OZ PL MM CHOC 1/12,00876063002011,CYTOSPORT MUSCLE MILK CHOCOLATE DRINK 12/14OZ PET,NEED TO INSPECT
48871,2021-08-10 01:50:24.000000,00034100571528,00034100571528,LITE       KEG  1/2 KEG,00034100571528,MILLER LITE BEER 1 CT 1984 OZ KEG 1984 OZ,NEED TO INSPECT
48876,2021-08-10 01:52:14.000000,089121288122,008912128812,12/750 J.LOHR 18 CAB SAUV,00089121288122,J LOHR PASO ROBLES SEVEN OAKS CABERNET SAUVIGNON 12/750ML,NEED TO INSPECT
48890,2021-08-10 01:56:16.000000,85606500209,85606500209,DEEP EDDY VODKA   RUBY RED  LT,00856065002097,DE SPIRITS LLC 1L BOTTLE - RR,NEED TO INSPECT
48895,2021-08-10 01:59:07.000000,00723830100091,00723830100091,LAG IPA 2-12-12 BTL,00723830100091,LAGUNITAS INDIA PALE ALE BEER 12 CT 12 OZ LONG NECK BTL IN BOX 144 OZ,NEED TO INSPECT
48917,2021-08-10 01:07:37.000000,704361121113,704361990245,G/L CNWY IRISH 12 OZ NR 4/6,00704361990245,GREAT LAKES SEASONAL BEER 6 CT 12 OZ LONG NECK BTL CRTN 72 OZ,NEED TO INSPECT
48920,2021-08-10 01:09:29.000000,00083783228236,00083783228229,SN WANDERLAND B24 12OZ 6P,00083783228229,SIERRA NEVADA SEASONAL BEER 6 CT 12 OZ GLASS BOTTLE IN CRTN 72 OZ,NEED TO INSPECT
48941,2021-08-10 01:27:38.000000,00635985100348,00635985100331,WC HRD MANGO C24 12OZ 12P,00635985100331,WHITE CLAW HARD SELTZER MANGO MALT BEVERAGE 12 CT 12 OZ CAN 144 OZ,NEED TO INSPECT
48958,2021-08-10 01:03:27.000000,00859335007020,00859335007020,WL VACAN PIE 24/12 4/6 CAN,00859335007020,WILD LEAP BREW CO. SUNVALE WHEAT,NEED TO INSPECT
48967,2021-08-10 01:19:27.000000,00754527010706,00754527010706,NB V VD HOPPY C24 12OZ 12P,00754527010706,NEW BELGIUM VOODOO RANGER HOPPY PACK VARIETY PACK BEER 12 CT 12 OZ CAN IN BOX 144 OZ,NEED TO INSPECT
48973,2021-08-10 01:18:16.000000,00082488127509,00082488127004,BECK'S NA 4/6/12 LNNR,00082488127509,HAAKE BECK NA MALT BEVERAGE 24 CT 12 OZ LONG NECK BTL IN BOX 288 OZ,NEED TO INSPECT
48974,2021-08-10 01:18:16.000000,00082488127509,00082488127004,BECK'S NA 4/6/12 LNNR,00082488127004,HAAKE BECK NA MALT BEVERAGE 6 CT 12 OZ LONG NECK BTL CRTN 72 OZ,NEED TO INSPECT
49075,2021-08-10 01:36:20.000000,747301010115,747301003278,KY BBA ALE 6/4/12OZ,00747301003278,KENTUCKY ALE BOURBON BARREL 4 PAK,NEED TO INSPECT
49076,2021-08-10 01:36:20.000000,747301010115,747301003278,KY BBA ALE 6/4/12OZ,00747301010115,KENTUCKY ALE BOURBON BARREL CASE 6 - 4 PACKS,NEED TO INSPECT
49127,2021-08-10 01:01:13.000000,181585000262,181585000262,RAHR BLONDE LAGER 4/6/12OZ CN -10/100,00181585000262,RAHR & SONS BREWING CO. RAHR'S BLONDE CAN,NEED TO INSPECT
49224,2021-08-10 01:05:52.000000,00786243119920,00786243119906,F/D RAGING IPA 12 OZ NR 4/6,00786243119906,FLYING DOG RAGING BITCH BELGIAN STYLE IPA BEER 6 CT 12 OZ LONG NECK BTL CRTN 72 OZ,NEED TO INSPECT
49225,2021-08-10 01:05:52.000000,00786243119920,00786243119906,F/D RAGING IPA 12 OZ NR 4/6,00786243119920,FLYING DOG RAGING BITCH BELGIAN-STYLE IPA 4/6/12OZ BOTTLE,NEED TO INSPECT
49236,2021-08-10 01:36:52.000000,00087692291053,00087692291039,SAM V SPRING B24 12OZ 12P,00087692291053,SAMUEL ADAMS SEASONAL VARIETY PACK TRAY / 2 12-12OZ CARTONS,NEED TO INSPECT
49237,2021-08-10 01:36:52.000000,00087692291053,00087692291039,SAM V SPRING B24 12OZ 12P,00087692291039,SAMUEL ADAMS CARTON 12X12OZ BOTTLES SAMUEL ADAMS SEASONAL VARIETY PACK VP,NEED TO INSPECT
49293,2021-08-10 01:12:41.000000,818094005807,197261,16OZ CN RKSTR PRZR SLVIC 1/12,00818094005807,ROCKSTAR ENERGY PURE ZERO SILVER 12/16OZ CAN,NEED TO INSPECT
49465,2021-08-10 01:16:10.000000,00840166600023,00840166600016,BALLAST POINT B 4/6 SCULPIN,00840166600016,SCULPIN IPA 12OZ BOTTLE - 6 PACK,NEED TO INSPECT
49466,2021-08-10 01:16:10.000000,00840166600023,00840166600016,BALLAST POINT B 4/6 SCULPIN,00840166600023,SCULPIN IPA 12OZ BOTTLE - MASTER CARTON,NEED TO INSPECT
49507,2021-08-10 01:50:49.000000,631234332140,631234332126,SWEETW G13 12 OZ NR 4/6,00631234332140,SWEETWATER 420 STRAIN G13 IPA 4/6/12OZ BOTTLES,NEED TO INSPECT
49542,2021-08-10 01:52:10.000000,00859518002606,00859518002606,BAXTER LOGGER 2/12/12CN,00859518002606,LOGGER ROAD 12PK LAGER 12OZ,NEED TO INSPECT
49596,2021-08-10 01:44:37.000000,00813694023671,00813694023640,BAI P 12/18 STRAW LEMONADE,00813694023640,BAI FLAVORED WATER STRAWBERRY LEMON SAO PAULO 12/18OZ PET,NEED TO INSPECT
49623,2021-08-10 01:33:51.000000,00860592002611,00860592002611,OB COAST TO COAST VAR 2/12/12CN,00860592002611,CANARCHY MIX PACK 12-PACK VOL. 1,NEED TO INSPECT
49634,2021-08-10 01:35:03.000000,00087692752318,00087692752318,TWI 1/2 & 1/2 12-24 CAN,00087692752318,TWISTED TEA CAN 24OZ TWISTED TEA HALF & HALF,NEED TO INSPECT
49659,2021-08-10 01:09:34.000000,,085200918744,S HOME WZIN 4PK 24C PET - CS24-187ML,00085200918744,SUTTER HM WHITE WHT ZINFANDEL 187 ML,NEED TO INSPECT
49683,2021-08-10 01:26:05.000000,08858662184,088586621840,CSM JO RIES 750ML,00088586621840,CHATEAU STE MICHELLE RIESLING VINTAGE SELECT COLUMBIA VALLEY 12/750ML,NEED TO INSPECT
49689,2021-08-10 01:01:14.000000,00072890001573,00072890001597,HEIN LT 2/12LN,00072890001573,HEINEKEN PREMIUM LIGHT LAGER BEER 12 CT 12 OZ GLASS BOTTLE IN BOX 144 OZ,NEED TO INSPECT
49690,2021-08-10 01:01:14.000000,00072890001573,00072890001597,HEIN LT 2/12LN,00072890001597,HEINEKEN PREMIUM LIGHT LAGER BEER 12 CT 12 OZ GLASS BOTTLE IN BOX 144 OZ,NEED TO INSPECT
49700,2021-08-10 01:28:16.000000,00851380006027,00851380006010,PALE SALAD DAY 4/6 LNNR 12OZ,00851380006027,PALE FIRE BREWING CO SALAD DAYS SAISON - CASE,NEED TO INSPECT
49751,2021-08-10 01:38:40.000000,610764863645,610764863638,BANG BLUE RASPBERRY CAN 12/16OZ,00610764863638,VPX BANG RTD 16 OZ BLUE RAZZ,NEED TO INSPECT
49752,2021-08-10 01:38:40.000000,610764863645,610764863638,BANG BLUE RASPBERRY CAN 12/16OZ,00610764863645,VPX BANG RTD 16 OZ BLUE RAZZ,NEED TO INSPECT
49778,2021-08-10 01:17:18.000000,85000021026,,CARLO ROSSI MOSCATO SANGRIA BORDEAUX,00085000021026,C ROSSI SW SN J TABLE OTHER 1.5 LTR,NEED TO INSPECT
49787,2021-08-10 01:01:01.000000,635985260479,635985260448,MIKES WHT CLAW GRPFRT 12/19C,00635985260448,WHITE CLAW HARD SELTZER RUBY GRAPEFRUIT MALT BEVERAGE 1 CT 19 OZ CAN 19.2 OZ,NEED TO INSPECT
49788,2021-08-10 01:32:35.000000,635985800071,635985800064,MIKES WHT CLAW FLV#2 VAR2/12C,00635985800064,WHITE CLAW HARD SELTZER FLAVOR COLLECTION NO 2 VARIETY PACK MALT BEVERAGE 12 CT 12 OZ CAN IN BOX 144 OZ,NEED TO INSPECT
49789,2021-08-10 01:32:35.000000,635985800071,635985800064,MIKES WHT CLAW FLV#2 VAR2/12C,00635985800071,WHITE CLAW HARD SELTZER VARIETY PACK MALT BEVERAGE 12 CT 12 OZ CAN IN BOX 144 OZ,NEED TO INSPECT
49790,2021-08-10 01:10:55.000000,798449008113,,COOP HAWK PKG RHUBARB WINE,00798449008113,ACE CIDER PINEAPPLE 4/6/12OZ BOTTLE,NEED TO INSPECT
49805,2021-08-10 01:24:34.000000,082000792581,082000792574,SMNF ZERO SUGAR SELTZER VTY 2/12/12 CN S,00082000792574,SMIRNOFF SELTZER CHERRY CITRUS & BLUE RASPBERRY MALT BEVERAGE 12 CT 12 OZ CAN IN BOX 144 OZ,NEED TO INSPECT
49807,2021-08-10 01:34:42.000000,00181954000039,00181954000022,PER PERONI 4-6-12 BTL,00181954000039,PERONI NASTRO AZZURRO 4/6/11.2OZ OR 330ML BOTTLES,NEED TO INSPECT
49848,2021-08-10 01:26:20.000000,034100001858,078000020403,TAHITIAN TREAT 24/20 PET,00034100001858,MICKEYS MALT LIQUOR MALT LIQUOR 1 CT 40 OZ GLASS BOTTLE 40 OZ,NEED TO INSPECT
49875,2021-08-10 01:32:18.000000,747301010115,747301003278,KY BBA ALE 6/4/12OZ,00747301003278,KENTUCKY ALE BOURBON BARREL 4 PAK,NEED TO INSPECT
49876,2021-08-10 01:32:18.000000,747301010115,747301003278,KY BBA ALE 6/4/12OZ,00747301010115,KENTUCKY ALE BOURBON BARREL CASE 6 - 4 PACKS,NEED TO INSPECT
50058,2021-08-10 01:57:00.000000,00087692300519,00087692300502,ADAMS WNTR LGR 12 OZ NR 4/6,00087692300519,SAMUEL ADAMS CARTON 4X6PK MOTHER SAMUEL ADAMS SEASONAL,NEED TO INSPECT
50174,2021-08-10 01:58:03.000000,00754527009946,00754527009946,NB VD HGR PLAN C24 12OZ 6P,00754527009946,NEW BELGIUM VOODOO ROTATING IPA SERIES BEER 6 CT 12 OZ CAN IN BOX 72 OZ,NEED TO INSPECT
50177,2021-08-10 01:41:40.000000,00635985260905,00635985260899,WC HRD BLK CHR C24 12OZ 12P,00635985260899,WHITE CLAW HARD SELTZER BLACK CHERRY MALT BEVERAGE 12 CT 12 OZ CAN IN BOX 144 OZ,NEED TO INSPECT
50202,2021-08-10 01:42:37.000000,00635985500056,00635985548904,MIK WHTCLW VP 2-12-12 CAN,00635985500056,WHITE CLAW HARD SELTZER VARIETY PACK MALT BEVERAGE 24 CT 12 OZ CAN IN BOX 288 OZ,NEED TO INSPECT
50203,2021-08-10 01:42:37.000000,00635985500056,00635985548904,MIK WHTCLW VP 2-12-12 CAN,00635985548904,WHITE CLAW HARD SELTZER VARIETY PACK MALT BEVERAGE 12 CT 12 OZ CAN IN BOX 144 OZ,NEED TO INSPECT
50222,2021-08-10 01:53:52.000000,858770002447,858770002447,OMB COPPER 4/6/12 BTL,00858770002447,THE OLDE MECKLENBURG BREWERY COPPER ALTBIER - 6-12OZ PACK,NEED TO INSPECT
50249,2021-08-10 01:50:54.000000,859518002330,00081584047674,750    KJ AVANT 19 CHARDONNAY,00859518002330,STOWAWAY INDIA PALE ALE 12PK OF 12OZ CANS,NEED TO INSPECT
50317,2021-08-10 01:48:12.000000,012000002243,,20OZ PL MDEW CD RD 1/24,00012000002243,MOUNTAIN DEW CODE RED SODA 24/20OZ PET,NEED TO INSPECT
50362,2021-08-10 01:06:38.000000,31259032641,,YELLOW TAIL CHARD SUPER CRISP,00031259032641,CLASSIFIED GROWTH CH LEOVILLE BARTON 2010 12/750,NEED TO INSPECT
50374,2021-08-10 01:07:02.000000,896599002361,,LAYER CAKE CHARD CREAMY,00896599002361,HUNDRED ACRE DEEP TIME,NEED TO INSPECT
50432,2021-08-10 01:21:48.000000,034100005344,034100005344,LITE 1/2 BARREL,00034100005344,MILLER LITE BEER 1 CT 1984 OZ KEG 1984 OZ,NEED TO INSPECT
50437,2021-08-10 01:38:35.000000,856229002161,856229002161,SANTAN TAN VARIETY 2/12/12 CAN,00856229002161,MIXED SANTAN 12 PACK,NEED TO INSPECT
50497,2021-08-10 01:21:53.000000,00034100012342,00034100012328,VIZZY 2/12 CN VAR PK,00034100012342,VIZZY HARD SELTZER VARIETY #1 2/12/12 OZ CAN,NEED TO INSPECT
50498,2021-08-10 01:21:53.000000,00034100012342,00034100012328,VIZZY 2/12 CN VAR PK,00034100012328,VIZZY HARD SELTZER VARIETY PACK MALT BEVERAGE 12 CT 12 OZ CAN IN BOX 144 OZ,NEED TO INSPECT
50557,2021-08-10 01:06:43.000000,00087692300519,00087692300502,ADAMS COLD SNP 12 OZ NR 4/6,00087692300502,SAMUEL ADAMS CARRIER 6X12OZ BOTTLES SAMUEL ADAMS SEASONAL,NEED TO INSPECT
50710,2021-08-10 01:59:13.000000,00018200958762,00018200250149,6% RITA LIME 15/25C,00018200250149,BUD LIGHT LIME LIME A RITA MALT BEVERAGE 1 CT 25 OZ CAN 25 OZ,NEED TO INSPECT
50711,2021-08-10 01:59:13.000000,00018200958762,00018200250149,6% RITA LIME 15/25C,00018200958762,BUD LIGHT LIME LIME A RITA MALT BEVERAGE 15 CT 25 OZ CAN IN BOX 375 OZ,NEED TO INSPECT
50740,2021-08-10 01:29:58.000000,00853045008490,00853045008490,SY AFFOGATO 6/4/16 CAN,00853045008490,SYCAMORE SPECIAL RELEASE 4PK CAROLINA CRAFT BEER,NEED TO INSPECT
50757,2021-08-10 01:34:21.000000,082000773696,082000773696,SM ICE WTR MIM 4/6PK BTL 11.2OZ,00082000773696,SMIRNOFF ICE WATERMELON MIMOSA MALT BEVERAGE 6 CT 11 OZ GLASS BOTTLE IN CRTN 67.2 OZ,NEED TO INSPECT
50761,2021-08-10 01:01:08.000000,00018200963247,00018200149900,BL LIME 2/12/12 LN,00018200963247,BUD LIGHT LIME BEER 24 CT 12 OZ LONG NECK BTL IN BOX 288 OZ,NEED TO INSPECT
50762,2021-08-10 01:36:58.000000,00087692291053,00087692291039,SAM V SPRING B24 12OZ 12P,00087692291053,SAMUEL ADAMS SEASONAL VARIETY PACK TRAY / 2 12-12OZ CARTONS,NEED TO INSPECT
50763,2021-08-10 01:36:58.000000,00087692291053,00087692291039,SAM V SPRING B24 12OZ 12P,00087692291039,SAMUEL ADAMS CARTON 12X12OZ BOTTLES SAMUEL ADAMS SEASONAL VARIETY PACK VP,NEED TO INSPECT
50773,2021-08-10 01:35:16.000000,00853897002547,00853897002271,VIV VARIETY 2/12 CAN 12OZ,00853897002271,BON & VIV SPIKED SELTZER SAMPLER 2/12/12OZ CANS,NEED TO INSPECT
50856,2021-08-10 01:28:51.000000,00635985100348,00635985100331,WC HRD MANGO C24 12OZ 12P,00635985100331,WHITE CLAW HARD SELTZER MANGO MALT BEVERAGE 12 CT 12 OZ CAN 144 OZ,NEED TO INSPECT
50859,2021-08-10 01:31:45.000000,00866419000082,00866419000082,CPRTL UNHOLY T C24 12OZ 6P,00866419000082,UNHOLY TRIPPEL - 6PK CASE BELGO-AMERICAN STYLE,NEED TO INSPECT
50864,2021-08-10 01:12:21.000000,00082000794981,00082000792574,SS V SEASONAL C24 12OZ 12P,00082000792574,SMIRNOFF SELTZER CHERRY CITRUS & BLUE RASPBERRY MALT BEVERAGE 12 CT 12 OZ CAN IN BOX 144 OZ,NEED TO INSPECT
50866,2021-08-10 01:09:43.000000,00754527009946,00754527009946,NB VD CPTN DYN C24 12OZ 6P,00754527009946,NEW BELGIUM VOODOO ROTATING IPA SERIES BEER 6 CT 12 OZ CAN IN BOX 72 OZ,NEED TO INSPECT
50939,2021-08-10 01:22:07.000000,00631234421240,00631234421134,SWEET IPA CAN 2/12/12,00631234421134,SWEETWATER INDIA PALE ALE BEER 12 CT 12 OZ CAN IN BOX 144 OZ,NEED TO INSPECT
51085,2021-08-10 01:34:26.000000,,085200000982,S HOME PINK MOSCATO - CS6-1.5L,00085200000982,SUTTER HM WHITE WHT ZINFANDEL 187 ML,NEED TO INSPECT
51158,2021-08-10 01:26:43.000000,00087692012047,00087692011675,TRU ICE T VAR 2-12-12 CAN,00087692011675,TRULY WRAP 12X12OZ SLIM CAN TRULY TEA VARIETY PACK VP,NEED TO INSPECT
51226,2021-08-10 01:05:41.000000,00704361121113,00704361990245,GL IRISH ALE 4/6 PK NR,00704361990245,GREAT LAKES SEASONAL BEER 6 CT 12 OZ LONG NECK BTL CRTN 72 OZ,NEED TO INSPECT
51231,2021-08-10 01:34:12.000000,082000762003,082000762003,4/6/11.2NR SMIRNOFF ICE HURRICANE PUNCH,00082000762003,SMIRNOFF ICE PEACH BELLINI MALT BEVERAGE 6 CT 11 OZ LONG NECK BTL CRTN 67.2 OZ,NEED TO INSPECT
51390,2021-08-10 01:42:03.000000,854436008358,854436008341,HOWIES CINN CHERRIES 10 8PK,00854436008341,SPIKED CHERRIES BALLS OF FIRE 10%,NEED TO INSPECT
51411,2021-08-10 01:43:15.000000,012000004520,,13.7OZ NR FRAP MCH 1/12,00012000004520,STARBUCKS FRAPPUCCINO MOCHA COFFEE 13.7OZ BOTTLE ,NEED TO INSPECT
51421,2021-08-10 01:40:23.000000,00635985260905,00635985260899,WC HRD BLK CHR C24 12OZ 12P,00635985260899,WHITE CLAW HARD SELTZER BLACK CHERRY MALT BEVERAGE 12 CT 12 OZ CAN IN BOX 144 OZ,NEED TO INSPECT
51424,2021-08-10 01:41:38.000000,00635985260905,00635985260899,WC HRD BLK CHR C24 12OZ 12P,00635985260899,WHITE CLAW HARD SELTZER BLACK CHERRY MALT BEVERAGE 12 CT 12 OZ CAN IN BOX 144 OZ,NEED TO INSPECT
51441,2021-08-10 01:44:37.000000,00863408000122,00863408000122,SUNRIVER C 4/6/12 VCMOS,00863408000122,VICIOUS MOSQUITO IPA 12OZ CAN,NEED TO INSPECT
51479,2021-08-10 01:29:04.000000,00082000778264,00082000757481,SM FLAVORS 4/6 SCREWDRIVR,00082000757481,SMIRNOFF MALT BEVERAGE 6 CT 11 OZ GLASS BOTTLE IN CRTN 67.2 OZ,NEED TO INSPECT
51501,2021-08-10 01:32:22.000000,855816004229,855816004229,NEW GLORY WAKEY WAKEY PORTER 6/4/16OZ CN,00855816004229,FARMOPOLIS DRY HOPPED FARMHOUSE,NEED TO INSPECT
51543,2021-08-10 01:32:27.000000,00736920116513,00736920116513,GI            IPA 2/15PK CN%,00736920116513,GOOSE ISLAND IPA BEER 15 CT 12 OZ CANS IN BOX 180 OZ,NEED TO INSPECT
51559,2021-08-10 01:23:50.000000,85606500209,85606500209,DEEP EDDY VODKA   RUBY RED  LT,00856065002097,DE SPIRITS LLC 1L BOTTLE - RR,NEED TO INSPECT
51560,2021-08-10 01:07:37.000000,849806003309,084980600329,4L SELTZ MANGO12/23.5CN,00849806003309,FOUR LOKO US 12% 23.5OZ SOUR MANGO SELTZER - CASE,NEED TO INSPECT
51675,2021-08-10 01:51:10.000000,00857240005117,00857240005117,OC OS ANGLER 4/6 LNNR 12OZ,00857240005117,OFFSHORE SEASONAL SIX-PACK,NEED TO INSPECT
51681,2021-08-10 01:58:03.000000,00631234421240,00631234421134,SW IPA        2-12/12 CAN,00631234421134,SWEETWATER INDIA PALE ALE BEER 12 CT 12 OZ CAN IN BOX 144 OZ,NEED TO INSPECT
51686,2021-08-10 01:56:13.000000,00631234421240,00631234421134,SW IPA        2-12/12 CAN,00631234421134,SWEETWATER INDIA PALE ALE BEER 12 CT 12 OZ CAN IN BOX 144 OZ,NEED TO INSPECT
51783,2021-08-10 01:07:35.000000,00813694023671,00813694023640,BAI P 12/18 STRAW LEMONADE,00813694023640,BAI FLAVORED WATER STRAWBERRY LEMON SAO PAULO 12/18OZ PET,NEED TO INSPECT
51894,2021-08-10 01:36:24.000000,00723830800106,00723830000094,LAG IPA 4/6/12 OZ BT,00723830000094,LAGUNITAS INDIA PALE ALE BEER 6 CT 12 OZ LONG NECK BTL CRTN 72 OZ,NEED TO INSPECT
51907,2021-08-10 01:19:55.000000,786162150004,,20Z PT 12LS_VW XXX,00786162150004,GLACEAU VITAMINWATER XXX 12/20OZ PET,NEED TO INSPECT
51998,2021-08-10 01:37:27.000000,00704361121113,00704361990245,GL IRISH ALE 4/6 PK NR,00704361990245,GREAT LAKES SEASONAL BEER 6 CT 12 OZ LONG NECK BTL CRTN 72 OZ,NEED TO INSPECT
52012,2021-08-10 01:36:53.000000,00087692006572,00087692006862,SA TRULY BERR VAR 2/12C,00087692006572,TRULY TRAY 2X12PK SKINNY CAN TRULY COLIMA LIME,NEED TO INSPECT
