,DISTRIBUTOR_FDC_ID,DISTRIBUTOR_FTS_ID,INVOICE_UPDATE_DATETIME,INVOICE_UPC_CASE,INVOICE_UPC_PACK,INVOICE_PACKAGE_DESCRIPTION,GTIN,PRODUCT_DESCRIPTION,new_invoice_description
39123,241,241,2021-08-10 01:17:14.000000,00080660957883,00080660957876,NEGRA MODELO 2/12/12 LNNR,00080660957876,MODELO NEGRA BEER 12 CT 12 OZ GLASS BOTTLE IN BOX 144 OZ,NEED TO INSPECT
39133,10000,10000,2021-08-10 01:20:03.000000,00635985000204,00635985000198,WC HRD 70 CLMN C24 12OZ 6P,00635985000204,WHITE CLAW 70 CLEMENTINE SELTZER 4/6/12OZ CANS,NEED TO INSPECT
39179,6679006,143532,2021-08-10 01:27:37.000000,00635985100348,00635985100331,WC HRD MANGO C24 12OZ 12P,00635985100331,WHITE CLAW HARD SELTZER MANGO MALT BEVERAGE 12 CT 12 OZ CAN 144 OZ,NEED TO INSPECT
39215,11031,11031,2021-08-10 01:13:54.000000,754527000233,754527000226,NB FAT TIRE 4/6 NR 24/12,00754527000233,FAT TIRE AMBER ALE 6PK BTL,NEED TO INSPECT
39241,14998,14998,2021-08-10 01:02:56.000000,,00860366001765,MAC & JACK C 4/6 LOG BOOM,00860366001765,LOG BOOM PALE ALE 12 OZ CAN / SIX PACK,NEED TO INSPECT
39333,12800,12800,2021-08-10 01:37:15.000000,,088586601835,CSM CV CAB SAUV - CS12-750ML,00088586601835,CHATEAU STE MICHELLE CABERNET SAUVIGNON COLUMBIA VALLEY 12/750ML,NEED TO INSPECT
39363,25836,25836,2021-08-10 01:39:15.000000,085200000593,085200000593,6/1.5L SUTTER HOME WHITE ZIN      A,00085200000593,STTR HM 40TH TR WHT ZINFANDEL 1.5 LTR,NEED TO INSPECT
39483,111051,111051,2021-08-10 01:39:00.000000,00854025001081,00854025001074,LAZY MAG SOUTH 4/6 CANS 12OZ,00854025001081,SOUTHERN PECAN NUT BROWN ALE 6 PACK,NEED TO INSPECT
39514,2333807,8005,2021-08-10 01:36:09.000000,00018200283918,00018200200588,BL PLAT 3/8/16 CALNR,00018200200588,BUD LIGHT PLATINUM LAGER BEER 8 CT 16 OZ ALUMINUM BOTTLE 128 OZ,NEED TO INSPECT
39557,14998,14998,2021-08-10 01:30:41.000000,00078000011814,00078000011814,7-UP C 12PK 2/12 ZERO,00078000011814,7UP DIET ZERO SODA 2/12/12OZ CANS ,NEED TO INSPECT
39602,8489,8489,2021-08-10 01:53:09.000000,012000813313,,13.7OZ NR FRAP VAN 1/12,00012000813313,STARBUCKS FRAPPUCCINO VANILLA COFFEE 13.7OZ BOTTLE,NEED TO INSPECT
39603,8489,8489,2021-08-10 01:45:48.000000,012000004520,,13.7OZ NR FRAP MCH 1/12,00012000004520,STARBUCKS FRAPPUCCINO MOCHA COFFEE 13.7OZ BOTTLE ,NEED TO INSPECT
39620,6213194,5942,2021-08-10 01:46:37.000000,00857845003044,00857845003044,STA STOUT@THE DEVIL 4/6/12 CANS,00857845003044,LILY FLAGG MILK STOUT 6 PACK,NEED TO INSPECT
39624,68059,68059,2021-08-10 01:47:36.000000,00611269917475,00611269818994,RB 12Z SINGLES,00611269917475,RED BULL - BEVERAGE ENERGY DRINK 12OZ TRAY,NEED TO INSPECT
39642,14998,14998,2021-08-10 01:53:52.000000,00016571952846,00016571952822,TR ICE C 12/16 CAFF ORANGE,00016571952846,SPARKLING ICE ORANGE PASSIONFRUIT 12/16OZ CANS,NEED TO INSPECT
39665,518,518,2021-08-10 01:45:24.000000,00780369800243,00780369800120,SY PUMPKINHEAD 4/6/12 LNNR,00780369800120,SHIPYARD SEASONAL BEER 6 CT 12 OZ LONG NECK BTL CRTN 72 OZ,NEED TO INSPECT
39666,518,518,2021-08-10 01:45:24.000000,00780369800243,00780369800120,SY PUMPKINHEAD 4/6/12 LNNR,00780369800243,SHIPYARD SEASONAL BEER 24 CT 12 OZ LONG NECK BTL IN BOX 288 OZ,NEED TO INSPECT
39758,541,541,2021-08-10 01:36:36.000000,00087692009924,00087692009917,SA TRULY LEMN MIX 2/12C,00087692009917,TRULY WRAP 12X12OZ SLIM CAN TRULY VARIETY PACK VP LEMONADE,NEED TO INSPECT
39759,541,541,2021-08-10 01:36:36.000000,00087692009924,00087692009917,SA TRULY LEMN MIX 2/12C,00087692009924,TRULY TRAY 2X12PK CANS TRULY VARIETY PACK VP LEMONADE,NEED TO INSPECT
39769,20,20,2021-08-10 01:14:00.000000,00859243003398,00859243003398,TBBC CLOUDY   6/4 16OZ CN,00859243003398,TAMPA BAY BREWING COMPANY DONKEY SERIES,NEED TO INSPECT
39775,30260,30260,2021-08-10 01:00:27.000000,00852587005059,00852587005059,JACK SNOWMAN 4/6/12 CAN,00852587005059,SNOWMAN STOUT MOCHA BEER,NEED TO INSPECT
39880,16463,16463,2021-08-10 01:25:34.000000,00611269917475,00611269818994,RB 12Z SINGLES,00611269917475,RED BULL - BEVERAGE ENERGY DRINK 12OZ TRAY,NEED TO INSPECT
39882,15506,15506,2021-08-10 01:12:48.000000,798449008113,,COOP HAWK PKG SAUVIGNON BLANC SAUVIG,00798449008113,ACE CIDER PINEAPPLE 4/6/12OZ BOTTLE,NEED TO INSPECT
39883,6218027,144834,2021-08-10 01:23:17.000000,00611269213843,00611269212457,RB KIWI TWIST 12Z SINGLES,00611269213843,RED BULL - BEVERAGE GREEN EDITION 12OZ TRAY,NEED TO INSPECT
39885,10602,10602,2021-08-10 01:25:04.000000,00611269423754,00611269716467,SF RB 12Z SINGLES,00611269423754,RED BULL - BEVERAGE SUGARFREE 12OZ TRAY,NEED TO INSPECT
39888,6218027,144834,2021-08-10 01:21:54.000000,00611269991246,00611269991000,RB 8.4Z SINGLE,00611269991246,RED BULL - BEVERAGE ENERGY DRINK 8.4OZ TRAY,NEED TO INSPECT
39898,6218027,144834,2021-08-10 01:25:28.000000,00611269991246,00611269991000,RB 8.4Z SINGLE,00611269991246,RED BULL - BEVERAGE ENERGY DRINK 8.4OZ TRAY,NEED TO INSPECT
39901,14998,14998,2021-08-10 01:17:32.000000,00083804047211,00083804047211,COOKS BRUT CHAMP NV,00083804047211,COOK'S CALIFORNIA CHAMPAGNE BRUT WHITE SPARKLING WINE 750ML,NEED TO INSPECT
39936,27,27,2021-08-10 01:27:39.000000,00635985100348,00635985100331,WC HRD MANGO C24 12OZ 12P,00635985100331,WHITE CLAW HARD SELTZER MANGO MALT BEVERAGE 12 CT 12 OZ CAN 144 OZ,NEED TO INSPECT
39941,39570,39570,2021-08-10 01:37:02.000000,00859891003221,00859891003320,DE MIX TAPE 2/12/12 CN,00859891003320,IPA SAMPLER 12 PACK OF OZ CANS,NEED TO INSPECT
39942,39570,39570,2021-08-10 01:37:02.000000,00859891003221,00859891003320,DE MIX TAPE 2/12/12 CN,00859891003221,DEEP ELLUM MOTHER CARTON,NEED TO INSPECT
39952,19084,19084,2021-08-10 01:22:32.000000,071990300302,071990300302,12OZCAN30X1PK COORS LT,00071990300302,COORS LIGHT BEER 30 CT 12 OZ CAN IN BOX 360 OZ,NEED TO INSPECT
39967,42541,42541,2021-08-10 01:35:41.000000,00087692291053,00087692291039,SAM V SPRING B24 12OZ 12P,00087692291053,SAMUEL ADAMS SEASONAL VARIETY PACK TRAY / 2 12-12OZ CARTONS,NEED TO INSPECT
39968,42541,42541,2021-08-10 01:35:41.000000,00087692291053,00087692291039,SAM V SPRING B24 12OZ 12P,00087692291039,SAMUEL ADAMS CARTON 12X12OZ BOTTLES SAMUEL ADAMS SEASONAL VARIETY PACK VP,NEED TO INSPECT
39983,19950,19950,2021-08-10 01:27:34.000000,00635985100348,00635985100331,WC HRD MANGO C24 12OZ 12P,00635985100331,WHITE CLAW HARD SELTZER MANGO MALT BEVERAGE 12 CT 12 OZ CAN 144 OZ,NEED TO INSPECT
39985,42541,42541,2021-08-10 01:28:48.000000,00635985100348,00635985100331,WC HRD MANGO C24 12OZ 12P,00635985100331,WHITE CLAW HARD SELTZER MANGO MALT BEVERAGE 12 CT 12 OZ CAN 144 OZ,NEED TO INSPECT
39986,11816,11816,2021-08-10 01:10:22.000000,00082000794981,00082000792574,SS V SEASONAL C24 12OZ 12P,00082000792574,SMIRNOFF SELTZER CHERRY CITRUS & BLUE RASPBERRY MALT BEVERAGE 12 CT 12 OZ CAN IN BOX 144 OZ,NEED TO INSPECT
39988,19950,19950,2021-08-10 01:32:50.000000,00866419000082,00866419000082,CPRTL UNHOLY T C24 12OZ 6P,00866419000082,UNHOLY TRIPPEL - 6PK CASE BELGO-AMERICAN STYLE,NEED TO INSPECT
40007,44218,44218,2021-08-10 01:32:59.000000,00754527008857,00754527008857,NB VD JUCYHAZE 4/6/12 CAN,00754527008857,NEW BELGIUM VOODOO RANGER JUICY HAZE IPA BEER 6 CT 12 OZ LONG NECK BTL CRTN 72 OZ,NEED TO INSPECT
40135,8613,8613,2021-08-10 01:31:58.000000,089826700011,089826700011,BOHEMIA 4/6/12OZ NR -9/81,00089826700011,BOHEMIA PILSNER BEER 6 CT 12 OZ LONG NECK BTL CRTN 72 OZ,NEED TO INSPECT
40280,12783,12783,2021-08-10 01:23:51.000000,85606500209,85606500209,DEEP EDDY VODKA   RUBY RED  LT,00856065002097,DE SPIRITS LLC 1L BOTTLE - RR,NEED TO INSPECT
40308,12783,12783,2021-08-10 01:12:57.000000,85606500204,85606500204,DEEP EDDY VODKA  LT,00856065002042,DE SPIRITS LLC 1L BOTTLE - DEV,NEED TO INSPECT
40384,13017,13017,2021-08-10 01:19:10.000000,00857240005117,00857240005117,OC OS ANGLER 4/6 LNNR 12OZ,00857240005117,OFFSHORE SEASONAL SIX-PACK,NEED TO INSPECT
40395,27,27,2021-08-10 01:37:01.000000,00087692291053,00087692291039,SAM V SPRING B24 12OZ 12P,00087692291053,SAMUEL ADAMS SEASONAL VARIETY PACK TRAY / 2 12-12OZ CARTONS,NEED TO INSPECT
40396,27,27,2021-08-10 01:37:01.000000,00087692291053,00087692291039,SAM V SPRING B24 12OZ 12P,00087692291039,SAMUEL ADAMS CARTON 12X12OZ BOTTLES SAMUEL ADAMS SEASONAL VARIETY PACK VP,NEED TO INSPECT
40427,12367,12367,2021-08-10 01:26:18.000000,08858660183,08858660183,CSM CAB 750ML,00088586601835,CHATEAU STE MICHELLE CABERNET SAUVIGNON COLUMBIA VALLEY 12/750ML,NEED TO INSPECT
40438,15506,15506,2021-08-10 01:12:45.000000,798449008113,,COOP HAWK PKG CHOCOLAT NOIR VIN CHOC,00798449008113,ACE CIDER PINEAPPLE 4/6/12OZ BOTTLE,NEED TO INSPECT
40439,17027,17027,2021-08-10 01:03:03.000000,080686507437,080686507437,OLD CROW STRAIGHT BOURBON 80 PET 750ML,00080686507437,CRO BBN 3YR 750X12 40% US TRVLR 9L,NEED TO INSPECT
40457,16463,16463,2021-08-10 01:21:49.000000,00611269991246,00611269991000,RB 8.4Z SINGLE,00611269991246,RED BULL - BEVERAGE ENERGY DRINK 8.4OZ TRAY,NEED TO INSPECT
40459,15506,15506,2021-08-10 01:12:53.000000,636251741630,,COOP HAWK DFT CH WHITE CH WHITE,00636251741630,STONE TANGERINE EXPRESS IPA BEER 6 CT 12 OZ CAN IN BOX 72 OZ,NEED TO INSPECT
40477,13540,13540,2021-08-10 01:05:58.000000,080660956251,00088474018202,750    SCHMITT SOHNE 19 RIESLING BLU,00080660956251,CORONA LIGHT BEER 6 CT 12 OZ LONG NECK BTL CRTN 72 OZ,NEED TO INSPECT
40541,125,125,2021-08-10 01:36:48.000000,00704361150243,00704361150243,GL IPA 4/6 PK CAN,00704361150243,GREAT LAKES IPA BEER 6 CT 12 OZ CAN IN BOX 72 OZ,NEED TO INSPECT
40546,42541,42541,2021-08-10 01:27:36.000000,00635985100348,00635985100331,WC HRD MANGO C24 12OZ 12P,00635985100331,WHITE CLAW HARD SELTZER MANGO MALT BEVERAGE 12 CT 12 OZ CAN 144 OZ,NEED TO INSPECT
40549,11816,11816,2021-08-10 01:22:36.000000,00631234400047,00631234400047,SW V 420 STASH C24 12OZ 12P,00631234400047,SWEETWATER 420 STRAIN STASH BOX HYBRID VARIETY PACK BEER 12 CT 12 OZ CAN IN BOX 144 OZ,NEED TO INSPECT
40560,7050,7050,2021-08-10 01:12:18.000000,88586603846,,CSM CHARD COLUMBIA VLY,00088586603843,CHATEAU STE MICHELLE CHARDONNAY 12/750ML,NEED TO INSPECT
40575,467,467,2021-08-10 01:10:37.000000,072890000163,072890000163,2/12/12NR HEINEKEN,00072890000163,HEINEKEN BEER 12 CT 12 OZ LONG NECK BTL IN BOX 144 OZ,NEED TO INSPECT
40669,54,54,2021-08-10 01:01:32.000000,085246139431,085246139431,MAKERS MARK BOURBON 90 750ML,00085246139431,MMK BBN 750X6 45%  W/FLASK VAP,NEED TO INSPECT
40703,13061,13061,2021-08-10 01:12:17.000000,88586603846,,CSM CHARD COLUMBIA VLY,00088586603843,CHATEAU STE MICHELLE CHARDONNAY 12/750ML,NEED TO INSPECT
40711,12368,12368,2021-08-10 01:26:11.000000,08858660384,08858660384,CSM CHARD 750ML,00088586603843,CHATEAU STE MICHELLE CHARDONNAY 12/750ML,NEED TO INSPECT
40712,12368,12368,2021-08-10 01:26:11.000000,08858660384,08858660384,CSM CHARD 750ML,00088586603846,CHATEAU STE MICHELLE CHARDONNAY COLUMBIA VALLEY 12/750ML,NEED TO INSPECT
40729,6679006,143532,2021-08-10 01:09:29.000000,00083783228236,00083783228229,SN WANDERLAND B24 12OZ 6P,00083783228229,SIERRA NEVADA SEASONAL BEER 6 CT 12 OZ GLASS BOTTLE IN CRTN 72 OZ,NEED TO INSPECT
40754,7086,7086,2021-08-10 01:23:02.000000,087692006619,786150001493,STELLA ARTOIS LAGER 18/11.2Z NR,00087692006619,ANGRY ORCHARD CARTON 4X6PK MOTHER ANGRY ORCHARD ROSE,NEED TO INSPECT
40760,7086,7086,2021-08-10 01:21:46.000000,867482000085,867482000085,ORPHEUS ALL YOU GET HAZY SOUR 4/6/12Z CN,00867482000085,THE RITES INDIA PALE ALE,NEED TO INSPECT
40780,8720,8720,2021-08-10 01:48:03.000000,072890004789,072890004789,12/1/22NR HEINEKEN,00072890004789,HEINEKEN BEER 1 CT 22 OZ LONG NECK BOTTLE 22 OZ,NEED TO INSPECT
40831,6684,6684,2021-08-10 01:41:55.000000,00087692291053,00087692291039,SAM SPRNG SESN NR 2/12/12,00087692291053,SAMUEL ADAMS SEASONAL VARIETY PACK TRAY / 2 12-12OZ CARTONS,NEED TO INSPECT
40832,6684,6684,2021-08-10 01:41:55.000000,00087692291053,00087692291039,SAM SPRNG SESN NR 2/12/12,00087692291039,SAMUEL ADAMS CARTON 12X12OZ BOTTLES SAMUEL ADAMS SEASONAL VARIETY PACK VP,NEED TO INSPECT
40834,104607,104607,2021-08-10 01:43:35.000000,00083820123654,00083820123609,GUIN PUB DRFT 6/4/14.9 CN,00083820123654,GUINNESS DRAUGHT BEER 24 CT 15 OZ CAN IN BOX 357.6 OZ,NEED TO INSPECT
40835,104607,104607,2021-08-10 01:43:35.000000,00083820123654,00083820123609,GUIN PUB DRFT 6/4/14.9 CN,00083820123609,GUINNESS DRAUGHT BEER 4 CT 7 OZ CAN IN CARDBOARD SLEEVE 29.8 OZ,NEED TO INSPECT
40897,42541,42541,2021-08-10 01:40:27.000000,00635985260905,00635985260899,WC HRD BLK CHR C24 12OZ 12P,00635985260899,WHITE CLAW HARD SELTZER BLACK CHERRY MALT BEVERAGE 12 CT 12 OZ CAN IN BOX 144 OZ,NEED TO INSPECT
40920,14091,14091,2021-08-10 01:43:59.000000,00635985500056,00635985548904,MIK WHTCLW VP 2-12-12 CAN,00635985500056,WHITE CLAW HARD SELTZER VARIETY PACK MALT BEVERAGE 24 CT 12 OZ CAN IN BOX 288 OZ,NEED TO INSPECT
40921,14091,14091,2021-08-10 01:43:59.000000,00635985500056,00635985548904,MIK WHTCLW VP 2-12-12 CAN,00635985548904,WHITE CLAW HARD SELTZER VARIETY PACK MALT BEVERAGE 12 CT 12 OZ CAN IN BOX 144 OZ,NEED TO INSPECT
40948,14998,14998,2021-08-10 01:49:32.000000,00083804047211,00083804047211,COOKS BRUT CHAMP NV,00083804047211,COOK'S CALIFORNIA CHAMPAGNE BRUT WHITE SPARKLING WINE 750ML,NEED TO INSPECT
40972,44218,44218,2021-08-10 01:51:30.000000,00754527010249,00754527010249,NB MTN TIME 2/12/12 CAN,00754527010249,NEW BELGIUM MOUNTAIN TIME PREMIUM LAGER BEER 12 CT 12 OZ CAN IN BOX 144 OZ,NEED TO INSPECT
41044,12750,12750,2021-08-10 01:57:37.000000,00810631030044,00850992005992,EXILE LOTUS 6NR,00810631030044,HOP CHRONICLES CASE 12OZ BOTTLES,NEED TO INSPECT
41046,241,241,2021-08-10 01:27:50.000000,00082000778264,00082000757481,SM FLAVORS 4/6 SCREWDRIVR,00082000757481,SMIRNOFF MALT BEVERAGE 6 CT 11 OZ GLASS BOTTLE IN CRTN 67.2 OZ,NEED TO INSPECT
41073,14998,14998,2021-08-10 01:48:46.000000,00853883003039,00853883003022,C2O C 12/17.5 WITH PULP,00853883003039,C2O PURE COCONUT WATER W/PULP 12/17.5OZ CAN,NEED TO INSPECT
41089,14091,14091,2021-08-10 01:55:51.000000,00080660958804,00080660958811,CON VICTORIA 4-6-12 BTL,00080660958804,VICTORIA LAGER BEER 24 CT 12 OZ LONG NECK BTL IN BOX 288 OZ,NEED TO INSPECT
41090,14091,14091,2021-08-10 01:55:51.000000,00080660958804,00080660958811,CON VICTORIA 4-6-12 BTL,00080660958811,VICTORIA LAGER BEER 6 CT 12 OZ LONG NECK BTL CRTN 72 OZ,NEED TO INSPECT
41149,1384,1384,2021-08-10 01:44:33.000000,034100572150,034100572150,LITE ON-PREM - 24PK LSE BTL,00034100572150,MILLER LITE BEER 24 CT 12 OZ LONG NECK BOTTLE 288 OZ,NEED TO INSPECT
41175,11468,11468,2021-08-10 01:51:39.000000,018200258787,018200258787,AB-NATDAD 6P/16Z C,00018200258787,NATTY DADDY LAGER BEER 6 CT 16 OZ CAN 96 OZ,NEED TO INSPECT
41299,28849,28849,2021-08-10 01:59:40.000000,00034100570231,034100570231,LITE ALUM PINT 2/9PK   16OZ,00034100570231,MILLER LITE BEER 9 CT 16 OZ ALUMINUM BOTTL IN BX 144 OZ,NEED TO INSPECT
41377,1246,1246,2021-08-10 01:42:55.000000,00018200769702,00018200003455,ULTRA 1/6BBL,00018200769702,MICHELOB AMBER BOCK BEER 1 CT 661 OZ KEG 661 OZ,NEED TO INSPECT
41383,12368,12368,2021-08-10 01:56:52.000000,08858660384,08858660384,CSM CHARD 750ML,00088586603843,CHATEAU STE MICHELLE CHARDONNAY 12/750ML,NEED TO INSPECT
41384,12368,12368,2021-08-10 01:56:52.000000,08858660384,08858660384,CSM CHARD 750ML,00088586603846,CHATEAU STE MICHELLE CHARDONNAY COLUMBIA VALLEY 12/750ML,NEED TO INSPECT
41400,39570,39570,2021-08-10 01:43:31.000000,00630832424646,00630832123044,RA AXIS IPA 4/6/12 CN,00630832424646,REAL ALE RABC TRAY,NEED TO INSPECT
41424,10102,10102,2021-08-10 01:47:48.000000,080660956268,080660956268,MODELO ESPECIAL 1/2 KEG,00080660956268,CORONA LIGHT BEER 1 CT 24 OZ CAN 24 OZ,NEED TO INSPECT
41434,5002,5002,2021-08-10 01:24:29.000000,089826230402,089826230402,CERVEZAS DE MEXICO 2/12/12 CAN,00089826230402,BEERS OF MEXICO VARIETY PACK BEER 12 CT 12 OZ CAN IN BOX 144 OZ,NEED TO INSPECT
41448,9993,9993,2021-08-10 01:56:57.000000,00034100575090,00034100575090,LITE 2/12/12 LNNR,00034100575090,MILLER LITE BEER 12 CT 12 OZ LONG NECK BTL IN BOX 144 OZ,NEED TO INSPECT
41461,13540,13540,2021-08-10 01:48:31.000000,022100001572,00086003461925,"750    MOND PRIV SEL 19 CHARDONNAY,",00022100001572,PABST BLUE RIBBON BEER 18 CT 12 OZ CAN IN BOX 216 OZ,NEED TO INSPECT
41468,27,27,2021-08-10 01:27:40.000000,00635985100348,00635985100331,WC HRD MANGO C24 12OZ 12P,00635985100331,WHITE CLAW HARD SELTZER MANGO MALT BEVERAGE 12 CT 12 OZ CAN 144 OZ,NEED TO INSPECT
41492,13456,13456,2021-08-10 01:07:33.000000,00611269206883,00611269206449,RB EDITION 12OZ GREEN SN,00611269206883,RED BULL - BEVERAGE SUMMER 12OZ TRAY,NEED TO INSPECT
41531,13540,13540,2021-08-10 01:28:58.000000,087692171027,00086003813854,1.5    WOODBRIDGE NV CABERNET SAUVIG,00087692171027,TWISTED TEA CARRIER 6X12OZ BOTTLES TWISTED TEA BLUEBERRY,NEED TO INSPECT
41573,125,125,2021-08-10 01:05:42.000000,00704361121113,00704361990245,GL IRISH ALE 4/6 PK NR,00704361990245,GREAT LAKES SEASONAL BEER 6 CT 12 OZ LONG NECK BTL CRTN 72 OZ,NEED TO INSPECT
41603,453,18006,2021-08-10 01:08:04.000000,034100175092,034100175092,MGD 2/12 LNNR,00034100175092,MILLER GENUINE DRAFT BEER 12 CT 12 OZ LONG NECK BTL IN BOX 144 OZ,NEED TO INSPECT
41604,467,467,2021-08-10 01:21:17.000000,080660956152,080660956152,2/12/12NR CORONA,00080660956152,CORONA EXTRA BEER 12 CT 12 OZ LONG NECK BTL IN BOX 144 OZ,NEED TO INSPECT
41643,9993,9993,2021-08-10 01:29:44.000000,00082000778240,00082000725183,SM ICE 2/12/11.2 BT,00082000725183,SMIRNOFF ICE MALT BEVERAGE 12 CT 11 OZ LONG NECK BTL IN BOX 134.4 OZ,NEED TO INSPECT
41654,11468,11468,2021-08-10 01:35:45.000000,754527000660,754527000660,NB-VD IPA 6PK BOTTLE,00754527000660,NEW BELGIUM VOODOO RANGER IPA 4/6/12OZ CANS,NEED TO INSPECT
41655,13278,13278,2021-08-10 01:25:39.000000,018200967313,018200069918,ULT 2/12PK SLIMCAN,00018200069918,MICHELOB ULTRA BEER 12 CT 12 OZ CAN IN BOX 144 OZ,NEED TO INSPECT
41656,13278,13278,2021-08-10 01:25:39.000000,018200967313,018200069918,ULT 2/12PK SLIMCAN,00018200967313,MICHELOB ULTRA BEER 12 CT 12 OZ CAN IN BOX 144 OZ,NEED TO INSPECT
41698,9993,9993,2021-08-10 01:30:58.000000,00082000778219,00082000723851,SM ICE 4/6/12 BT,00082000723851,SMIRNOFF ICE MALT BEVERAGE 6 CT 11 OZ LONG NECK BTL CRTN 67.2 OZ,NEED TO INSPECT
41738,15859,15859,2021-08-10 01:47:54.000000,00754527009946,00754527009946,NB VDR CAP DYN 4/6/12 CAN,00754527009946,NEW BELGIUM VOODOO ROTATING IPA SERIES BEER 6 CT 12 OZ CAN IN BOX 72 OZ,NEED TO INSPECT
41752,37196,37196,2021-08-10 01:47:43.000000,850162008211,085016200821,10B PROFSE JUIC C4/6/12,850162008211,OUT OF OFFICE CAN 6PACK BOX,NEED TO INSPECT
41810,6684074,143164,2021-08-10 01:45:28.000000,786162080325,,32Z PT 15LS_VW NRG,00786162080325,GLACEAU VITAMIN WATER ENERGY-KO 15/32OZ PET,NEED TO INSPECT
41811,44218,44218,2021-08-10 01:53:31.000000,00754527008857,00754527008857,NB VD JUCYHAZE 4/6/12 CAN,00754527008857,NEW BELGIUM VOODOO RANGER JUICY HAZE IPA BEER 6 CT 12 OZ LONG NECK BTL CRTN 72 OZ,NEED TO INSPECT
41817,14091,14091,2021-08-10 01:44:27.000000,00635985500056,00635985548904,MIK WHTCLW VP 2-12-12 CAN,00635985500056,WHITE CLAW HARD SELTZER VARIETY PACK MALT BEVERAGE 24 CT 12 OZ CAN IN BOX 288 OZ,NEED TO INSPECT
41818,14091,14091,2021-08-10 01:44:27.000000,00635985500056,00635985548904,MIK WHTCLW VP 2-12-12 CAN,00635985548904,WHITE CLAW HARD SELTZER VARIETY PACK MALT BEVERAGE 12 CT 12 OZ CAN IN BOX 144 OZ,NEED TO INSPECT
41823,12783,12783,2021-08-10 01:58:55.000000,08068602220,08068602220,BEAM 8 STAR BLENDED WHISKEY  LT,00080686022206,EST BLD 1000X12 40% US GLS RF,NEED TO INSPECT
41844,15506,15506,2021-08-10 01:57:30.000000,798449008113,,COOP HAWK PKG NIGHT JAR NIGHT JAR,00798449008113,ACE CIDER PINEAPPLE 4/6/12OZ BOTTLE,NEED TO INSPECT
41866,4076552,121642,2021-08-10 01:55:11.000000,00631234400054,00631234400030,SW IPA 4/6/12 BTL,00631234400030,SWEETWATER INDIA PALE ALE BEER 6 CT 12 OZ LONG NECK BTL CRTN 72 OZ,NEED TO INSPECT
41926,6684,6684,2021-08-10 01:15:50.000000,00087692752134,00087692752318,TT 1/2 N 1/2 CAN 12/24,00087692752134,TWISTED TEA TRAY 24OZ CAN TWISTED TEA HALF & HALF,NEED TO INSPECT
41927,6684,6684,2021-08-10 01:15:50.000000,00087692752134,00087692752318,TT 1/2 N 1/2 CAN 12/24,00087692752318,TWISTED TEA CAN 24OZ TWISTED TEA HALF & HALF,NEED TO INSPECT
41945,8260,8260,2021-08-10 01:10:13.000000,00863408000122,00863408000122,SUNRIVER C 4/6/12 VCMOS,00863408000122,VICIOUS MOSQUITO IPA 12OZ CAN,NEED TO INSPECT
41962,27,27,2021-08-10 01:23:18.000000,00071990095338,00071990095321,BM ICED COFFEE B24 12OZ 6P,00071990095321,BLUE MOON SEASONAL COLLECTION BEER 6 CT 12 OZ LONG NECK BTL CRTN 72 OZ,NEED TO INSPECT
41963,27,27,2021-08-10 01:23:18.000000,00071990095338,00071990095321,BM ICED COFFEE B24 12OZ 6P,00071990095338,BLUE MOON SEASONAL BEER 6 CT 12 OZ LONG NECK BTL CRTN 72 OZ,NEED TO INSPECT
41975,8260,8260,2021-08-10 01:13:07.000000,00857021004148,00857021004148,AVID B 12/22 ORNGCR,00857021004148,ATLAS HARD CIDER COMPANY SEASONAL/RESERVE,NEED TO INSPECT
41984,12042,12042,2021-08-10 01:30:22.000000,,034100000455,OE 800 1/12/42OZ PET,00034100000455,OLDE ENGLISH HG800 BEER 1 CT 40 OZ GLASS BOTTLE 40 OZ,NEED TO INSPECT
42007,13278,13278,2021-08-10 01:15:50.000000,018200960314,018200209932,RITA STRAW 6% 8OZ2/,00018200960314,BUD LIGHT LIME STRAW BER RITA MALT BEVERAGE 24 CT 8 OZ CAN IN BOX 192 OZ,NEED TO INSPECT
42008,13278,13278,2021-08-10 01:15:50.000000,018200960314,018200209932,RITA STRAW 6% 8OZ2/,00018200209932,BUD LIGHT LIME STRAW BER RITA MALT BEVERAGE 12 CT 8 OZ CAN IN BOX 96 OZ,NEED TO INSPECT
42057,14998,14998,2021-08-10 01:08:47.000000,00078000152104,00078000152104,C DRY CUBE C 24/12 GINGER,00078000152104,CANADA DRY GINGER ALE SODA 24/12OZ CAN,NEED TO INSPECT
42097,241,241,2021-08-10 01:29:21.000000,00082000778356,00082000732143,SM FLAVORS 4/6 WILD GRAPE,00082000778356,SMIRNOFF ICE GRAPE 4/6/11.2 OZ BOTTLE,NEED TO INSPECT
42111,27,27,2021-08-10 01:21:33.000000,00723830014060,00723830014060,LAG L SUMPN C24 12OZ 6P,00723830014060,LAGUNITAS A LITTLE SUMPIN SUMPIN ALE BEER 6 CT 12 OZ CAN IN BOX 72 OZ,NEED TO INSPECT
42151,27,27,2021-08-10 01:07:16.000000,00083783228236,00083783228229,SN WANDERLAND B24 12OZ 6P,00083783228229,SIERRA NEVADA SEASONAL BEER 6 CT 12 OZ GLASS BOTTLE IN CRTN 72 OZ,NEED TO INSPECT
